Citation,Site,tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
Trampush et al. (2014) (Agourdis et al (2011) and Brockman (2010)),Fourmile Creek at Polar Bridge,0.091857621,0.0184,0.0607,8,0.5,4.4
Trampush et al. (2014) (Brockman (2010)),North Elkhorn Creek near Georgetown,0.007958372,0.0008,0.0792,,1.3,
Trampush et al. (2014) (Chaplin (2005)),Pohopoco Creek at Kresgeville Pa.,0.005281026,0.001,0.0964,25.1,0.84,22.2
Trampush et al. (2014) (Chaplin (2005)),Jordan Creek at Allentown Pa.,0.013009678,0.001,0.0382,32.3,0.82,54.9
Trampush et al. (2014) (Chaplin (2005)),Schuylkill River at Landingville Pa.,0.034921708,0.001,0.0269,34.4,1.55,67.7
Trampush et al. (2014) (Chaplin (2005)),Maiden Creek at Virginville Pa.,0.023802985,0.001,0.0331,47.9,1.3,89.1
Trampush et al. (2014) (Chaplin (2005)),Crooked Creek below Catlin Hollow at Middlebury Center Pa.,0.024278934,0.001,0.0332,33.2,1.33,74.4
Trampush et al. (2014) (Chaplin (2005)),Chillisquaque Creek at Washingtonville Pa.,0.014612528,0.001,0.0506,22.7,1.22,49.8
Trampush et al. (2014) (Chaplin (2005)),Tuscarora Creek near Port Royal Pa.,0.019506598,0.001,0.0581,61,1.87,116.9
Trampush et al. (2014) (Chaplin (2005)),Sherman Creek at Shermans Dale Pa.,0.013154804,0.001,0.0516,61.6,1.12,123
Trampush et al. (2014) (Chaplin (2005)),West Branch French Creek near Lowville Pa.,0.058688147,0.001,0.0158,19.3,1.53,27.8
Trampush et al. (2014) (Chaplin (2005)),Little Mahoning Creek at McCormick Pa.,0.013916947,0.001,0.0675,30.5,1.55,59.3
Trampush et al. (2014) (Chaplin (2005)),Browns Creek near Nineveh Pa.,0.038871473,0.001,0.0145,17.5,0.93,17
Trampush et al. (2014) (Chaplin (2005)),First Fork Sinnemahoning Creek at Wharton Pa.,0.014273577,0.002,0.107,54.6,1.26,117.4
Trampush et al. (2014) (Chaplin (2005)),Kettle Creek at Cross Fork Pa.,0.010695187,0.002,0.119,48.5,1.05,79.6
Trampush et al. (2014) (Chaplin (2005)),East Mahantango Creek near Dalmatia Pa.,0.038200184,0.002,0.0495,40.5,1.56,97.7
Trampush et al. (2014) (Chaplin (2005)),Buffalo Creek near Freeport Pa.,0.039679304,0.002,0.0446,34.1,1.46,79.9
Trampush et al. (2014) (Chaplin (2005)),Little Shenango River at Greenville Pa.,0.03986326,0.002,0.0523,22.1,1.72,58.9
Trampush et al. (2014) (Chaplin (2005)),Jordan Creek near Schnecksville Pa.,0.038129641,0.003,0.0453,32.3,0.95,49.6
Trampush et al. (2014) (Chaplin (2005)),Lycoming Creek near Trout Run Pa.,0.015994532,0.003,0.133,61.6,1.17,133.9
Trampush et al. (2014) (Chaplin (2005)),West Branch Clarion River at Wilcox Pa.,0.024423338,0.003,0.067,29.6,0.9,50.7
Trampush et al. (2014) (Chaplin (2005)),Laurel Hill Creek at Ursina Pa.,0.031114719,0.003,0.0672,49.1,1.15,91.3
Trampush et al. (2014) (Chaplin (2005)),Aquashicola Creek at Palmerton Pa.,0.020365599,0.004,0.0988,44.5,0.83,48.7
Trampush et al. (2014) (Chaplin (2005)),Bixler Run near Loysville Pa.,0.02629108,0.004,0.071,13.2,0.77,12
Trampush et al. (2014) (Chaplin (2005)),Newburg Run at Newburg Pa.,0.032693346,0.004,0.0393,12.6,0.53,8.5
Trampush et al. (2014) (Chaplin (2005)),Kinzua Creek near Guffey Pa.,0.024214268,0.004,0.0861,19.1,0.86,25.2
Trampush et al. (2014) (Chaplin (2005)),Woodcock Creek at Blooming Valley Pa.,0.016749311,0.004,0.11,22.3,0.76,30
Trampush et al. (2014) (Chaplin (2005)),Wapwallopen Creek near Wapwallopen Pa.,0.052303861,0.006,0.0584,21.1,0.84,20.2
Trampush et al. (2014) (Chaplin (2005)),Marsh Creek at Blanchard Pa.,0.036457116,0.006,0.0778,19.4,0.78,25.1
Trampush et al. (2014) (Chaplin (2005)),Blockhouse Creek near English Center Pa.,0.044400044,0.006,0.0819,28.1,1,37.9
Trampush et al. (2014) (Chaplin (2005)),Kishacoquillas Creek at Reedsville Pa.,0.029292929,0.006,0.18,35.4,1.45,70.5
Trampush et al. (2014) (Chaplin (2005)),Little Schuylkill River at Tamaqua Pa.,0.028163993,0.007,0.119,16.9,0.79,27.8
Trampush et al. (2014) (Chaplin (2005)),Wilson Run at Penfield Pa.,0.05083089,0.007,0.0434,8.6,0.52,5.4
Trampush et al. (2014) (Chaplin (2005)),Tonoloway Creek near Needmore Pa.,0.045010364,0.008,0.0614,11.1,0.57,8.6
Trampush et al. (2014) (Chaplin (2005)),Corey Creek near Mainesburg Pa.,0.060783791,0.009,0.0682,21.7,0.76,19.4
Trampush et al. (2014) (Chaplin (2005)),Young Womans Creek near Renovo Pa.,0.036210848,0.009,0.119,25.8,0.79,22.1
Trampush et al. (2014) (Chaplin (2005)),Sevenmile Run near Rasselas Pa.,0.051948052,0.009,0.0735,10.9,0.7,7.1
Trampush et al. (2014) (Chaplin (2005)),Muncy Creek near Sonestown Pa.,0.051646904,0.01,0.115,20.9,0.98,38.5
Trampush et al. (2014) (Chaplin (2005)),Little Pine Creek near Etna Pa.,0.177133655,0.011,0.0207,5.5,0.55,5.7
Trampush et al. (2014) (Chaplin (2005)),Toby Creek at Luzerne Pa.,0.042674681,0.012,0.121,15,0.71,21
Trampush et al. (2014) (Chaplin (2005)),Brandy Run near Girard Pa.,0.046119734,0.012,0.041,8.9,0.26,4.3
Trampush et al. (2014) (Chaplin (2005)),Tuscarora Creek near Silvara Pa.,0.021734587,0.013,0.116,17.8,0.32,11.2
Trampush et al. (2014) (Chaplin (2005)),Waldy Run near Emporium Pa.,0.034443444,0.014,0.101,13.5,0.41,3.3
Trampush et al. (2014) (Chaplin (2005)),North Fork Bens Creek at North Fork Pa.,0.087385483,0.031,0.0817,8.3,0.38,2
Trampush et al. (2014) (Cinotto (2003)),Manatawny Creek near Pottstown Pa. ,0.035007111,0.001,0.0277,27.5,1.6,66.3
Trampush et al. (2014) (Cinotto (2003)),Perkiomen Creek at East Greenville Pa. ,0.255183413,0.002,0.0038,35.7,0.8,33.7
Trampush et al. (2014) (Cinotto (2003)),Crum Creek near Newtown Square Pa. ,0.340909091,0.002,0.0032,17.5,0.9,17
Trampush et al. (2014) (Cinotto (2003)),Chester Creek near Chester Pa.,0.032760033,0.002,0.0481,21.2,1.3,50.2
Trampush et al. (2014) (Cinotto (2003)),French Creek near Phoenixville Pa.,0.029828486,0.004,0.0894,26.5,1.1,40.8
Trampush et al. (2014) (Cinotto (2003)),West Branch Perkiomen Creek at Hillegas Pa.,1.818181818,0.004,0.0008,29.4,0.6,28.3
Trampush et al. (2014) (Cinotto (2003)),West Branch Brandywine Creek at Modena Pa.,0.07981045,0.004,0.0243,29.6,0.8,46.5
Trampush et al. (2014) (Cinotto (2003)),Conowingo Creek near Buck Pa. ,0.038921323,0.004,0.0436,8.9,0.7,7.4
Trampush et al. (2014) (Cinotto (2003)),West Branch Brandywine Creek at Coatesville Pa.,0.090478242,0.009,0.0422,23.7,0.7,31.1
Trampush et al. (2014) (Cinotto (2003)),Sucker Run near Coatesville Pa. ,8.727272727,0.009,0.00025,5.4,0.4,4
Trampush et al. (2014) (Keaton et al (2005)),Christians Creek near Fisherville. Va.,0.02259887,0.0011,0.0472,19.4,1.6,44.7
Trampush et al. (2014) (Keaton et al (2005)),Little Cacapon River near Levels. W.Va.,0.014011524,0.0013,0.0731,27.7,1.3,80.4
Trampush et al. (2014) (Keaton et al (2005)),North Fork Shenandoah River at Cootes Store. Va.,0.029542739,0.0016,0.0558,45.4,1.7,104.8
Trampush et al. (2014) (Keaton et al (2005)),North Fork Holston River near Saltville. Va.,0.015810277,0.0016,0.0552,66.4,0.9,66.8
Trampush et al. (2014) (Keaton et al (2005)),Bluestone River at Falls Mills. Va.,0.044270833,0.0017,0.0256,17.2,1.1,19.3
Trampush et al. (2014) (Keaton et al (2005)),Smith Creek near New Market. Va.,0.085235921,0.0022,0.0219,27.9,1.4,38.2
Trampush et al. (2014) (Keaton et al (2005)),Potts Creek near Covington. Va.,0.039525692,0.0022,0.0506,35.7,1.5,67.4
Trampush et al. (2014) (Keaton et al (2005)),South Fork Holston River at Riverside near Chilhowie. Va,0.021265284,0.0022,0.0627,22.2,1,32.6
Trampush et al. (2014) (Keaton et al (2005)),South Fork Roanoke River near Shawsville. Va.,0.03099488,0.0024,0.0657,34.4,1.4,67.7
Trampush et al. (2014) (Keaton et al (2005)),Cedar Creek near Winchester. Va.,0.076632587,0.0026,0.0329,31.1,1.6,75
Trampush et al. (2014) (Keaton et al (2005)),Linville Creek at Broadway. Va.,0.074380165,0.0027,0.0198,17.9,0.9,22.1
Trampush et al. (2014) (Keaton et al (2005)),Town Creek near OldTown. Md.,0.038173142,0.0028,0.0489,40.2,1.1,78.4
Trampush et al. (2014) (Keaton et al (2005)),Back Creek near Jones Springs. W.Va.,0.079051383,0.003,0.0368,36.9,1.6,102.8
Trampush et al. (2014) (Keaton et al (2005)),Anthony Creek near Anthony. W.Va.,0.014944904,0.0031,0.176,37.2,1.4,66.5
Trampush et al. (2014) (Keaton et al (2005)),Reed Creek at Grahams Forge. Va.,0.033742331,0.0033,0.0652,46.6,1.1,85.2
Trampush et al. (2014) (Keaton et al (2005)),Middle Fork Holston River at Seven Mile Ford. Va.,0.052060738,0.0033,0.0461,25.3,1.2,68.5
Trampush et al. (2014) (Keaton et al (2005)),Wills Creek near Cumberland. Md.,0.021212121,0.0035,0.12,50.3,1.2,91.2
Trampush et al. (2014) (Keaton et al (2005)),South Fork South Branch Potomac River at Brandywine. W.Va.,0.019460662,0.0035,0.109,28.9,1,34
Trampush et al. (2014) (Keaton et al (2005)),Dunlap Creek near Covington. Va.,0.038427756,0.0035,0.0828,35.7,1.5,81.6
Trampush et al. (2014) (Keaton et al (2005)),Middle Fork Holston River at Groseclose. Va.,0.032836101,0.0035,0.0323,5.3,0.5,2.6
Trampush et al. (2014) (Keaton et al (2005)),Lick Creek near Chatham Hill. Va.,0.027444254,0.0036,0.0636,20.6,0.8,14.7
Trampush et al. (2014) (Keaton et al (2005)),Cove Creek near Shelleys. Va.,0.089256198,0.0036,0.022,11.2,0.9,9.2
Trampush et al. (2014) (Keaton et al (2005)),Jackson River near BacoVa.,0.023184869,0.0038,0.149,32.6,1.5,62
Trampush et al. (2014) (Keaton et al (2005)),Tinker Creek near Daleville. Va.,0.049910873,0.0044,0.0374,11.8,0.7,7.5
Trampush et al. (2014) (Keaton et al (2005)),Marsh Run at Grimes. Md.,0.09432069,0.0047,0.0151,7.7,0.5,3.2
Trampush et al. (2014) (Keaton et al (2005)),South River at Harriston. Va.,0.033111604,0.0048,0.123,40.8,1.4,94.6
Trampush et al. (2014) (Keaton et al (2005)),South Branch Potomac River at Franklin. W.Va.,0.039776405,0.0052,0.103,31.4,1.3,83.8
Trampush et al. (2014) (Keaton et al (2005)),Catawba Creek near Catawba. Va.,0.08030303,0.0053,0.028,17.3,0.7,29.7
Trampush et al. (2014) (Keaton et al (2005)),Hogue Creek near Hayfield. Va.,0.052051328,0.0054,0.0503,13.4,0.8,17.8
Trampush et al. (2014) (Keaton et al (2005)),Cowpasture River near Head Waters. Va.,0.01826484,0.0055,0.073,10.9,0.4,4
Trampush et al. (2014) (Keaton et al (2005)),Crooked Run near Mt. Jackson. Va.,0.066217733,0.0059,0.0324,8.5,0.6,5.1
Trampush et al. (2014) (Keaton et al (2005)),Big Cedar Creek near Lebanon. Va.,0.141843972,0.0066,0.0141,3,0.5,1.1
Trampush et al. (2014) (Keaton et al (2005)),Cedar Creek near Meadowview. Va.,0.07746728,0.0073,0.0514,27.1,0.9,34.3
Trampush et al. (2014) (Keaton et al (2005)),Bullpasture River at Williamsville. Va.,0.031666667,0.0095,0.2,28.2,1.1,63.7
Trampush et al. (2014) (Keaton et al (2005)),North River near Stokesville. Va.,0.04006734,0.0119,0.108,16.9,0.6,13.1
Trampush et al. (2014) (Keaton et al (2005)),Dog Creek tributary at Locust Grove. Md.,0.196172249,0.0123,0.0076,2.7,0.2,0.4
Trampush et al. (2014) (Keaton et al (2005)),Passage Creek near Buckton. Va.,0.071311657,0.0124,0.137,23.8,1.3,59.7
Trampush et al. (2014) (Keaton et al (2005)),Brumley Creek at Brumley Gap. Va.,0.068237935,0.019,0.135,15.9,0.8,15.3
Trampush et al. (2014) (Keaton et al (2005)),Renick Run near Buchanan. Va.,0.070267896,0.022,0.0759,7.1,0.4,6.7
Trampush et al. (2014) (Keaton et al (2005)),Pugh?s Run near Woodstock. Va.,0.112160567,0.0228,0.0616,8,0.5,3.1
Trampush et al. (2014) (Keaton et al (2005)),Potomac River Tribuatary near Hancock. Md.,0.080106365,0.0241,0.0547,3,0.3,1.6
Trampush et al. (2014) (Lawlor (2004)),Little Blackfoot River near Garrison,0.053872054,0.003,0.027,17.4,0.8,26
Trampush et al. (2014) (Lawlor (2004)),Flint Creek at Maxville,0.051948052,0.003,0.028,13.7,0.8,9.8
Trampush et al. (2014) (Lawlor (2004)),Clearwater River near Clearwater,0.025454545,0.003,0.05,36.6,0.7,39.6
Trampush et al. (2014) (Lawlor (2004)),Nevada Creek above Reservoir near Helmville,0.134680135,0.004,0.009,11.6,0.5,5.5
Trampush et al. (2014) (Lawlor (2004)),Monture Creek at Lolo National Forest boundary near Ovando,0.036363636,0.004,0.04,22.3,0.6,32
Trampush et al. (2014) (Lawlor (2004)),Lolo Creek above Sleeman Creek near Lolo,0.015151515,0.004,0.08,17.4,0.5,32.3
Trampush et al. (2014) (Lawlor (2004)),Racetrack Creek below Granite Creek near Anaconda,0.571095571,0.007,0.0052,7.6,0.7,7.8
Trampush et al. (2014) (Lawlor (2004)),Basin Creek near Yaak,0.161616162,0.008,0.021,9.1,0.7,5.4
Trampush et al. (2014) (Lawlor (2004)),Deer Creek near Seely Lake,0.044755245,0.008,0.0325,6.4,0.3,3.5
Trampush et al. (2014) (Lawlor (2004)),Wolf Creek near Libby,0.028860029,0.01,0.105,10.4,0.5,17.5
Trampush et al. (2014) (Lawlor (2004)),Middle Fork Rock Creek near Philipsburg,0.055944056,0.01,0.065,22.9,0.6,15.7
Trampush et al. (2014) (Lawlor (2004)),Eightmile Creek near Florence,0.637958533,0.01,0.0057,4.3,0.6,1.6
Trampush et al. (2014) (Lawlor (2004)),North Fork Lost Creek near Swan Lake,0.022551092,0.01,0.215,7.9,0.8,6.8
Trampush et al. (2014) (Lawlor (2004)),Deep Creek near Fortine MT,0.119047619,0.011,0.028,4.3,0.5,2.1
Trampush et al. (2014) (Lawlor (2004)),Clark Fork tributary near Drummond,11.73020528,0.012,0.000062,2.7,0.1,1.7
Trampush et al. (2014) (Lawlor (2004)),Big Creek at Big Creek Ranger Station near Columbia Falls,0.065372829,0.012,0.089,13.7,0.8,20.4
Trampush et al. (2014) (Lawlor (2004)),Dry Creek near Superior,0.060606061,0.013,0.052,7.3,0.4,4
Trampush et al. (2014) (Lawlor (2004)),East Fork Timber Creek near Haugan,0.339393939,0.014,0.005,3,0.2,0.2
Trampush et al. (2014) (Lawlor (2004)),Trapper Creek near Conner,0.090909091,0.015,0.06,14.9,0.6,12.5
Trampush et al. (2014) (Lawlor (2004)),Mission Creek above reservoir near St. Ignatius,0.193939394,0.016,0.035,11.9,0.7,13.6
Trampush et al. (2014) (Lawlor (2004)),Boulder Creek at Maxville,0.051948052,0.018,0.105,10.1,0.5,9.5
Trampush et al. (2014) (Lawlor (2004)),Skalkaho Creek near Hamilton,0.045454545,0.02,0.16,10.1,0.6,10.6
Trampush et al. (2014) (Lawlor (2004)),Zulu Creek near Yaak,0.102564103,0.022,0.039,4.3,0.3,1.2
Trampush et al. (2014) (Lawlor (2004)),Granite Creek near Libby,0.079338843,0.024,0.11,10.4,0.6,7.4
Trampush et al. (2014) (Lawlor (2004)),Blacktail Creek near Yaak,0.09004329,0.026,0.07,6.4,0.4,2.3
Trampush et al. (2014) (Lawlor (2004)),Mill Creek above Bassoo Creek near Niarada,0.087774295,0.028,0.058,5.8,0.3,1.9
Trampush et al. (2014) (Lawlor (2004)),Big Knife Creek near Arlee,0.300348619,0.028,0.0226,4.6,0.4,1.4
Trampush et al. (2014) (Lawlor (2004)),White Pine Creek near Trout Creek,0.117032393,0.028,0.058,7.9,0.4,3.7
Trampush et al. (2014) (Lawlor (2004)),Valley Creek near Arlee,0.151515152,0.03,0.06,4.6,0.5,1.7
Trampush et al. (2014) (Lawlor (2004)),Edwards Gulch at Drummond,60.60606061,0.031,0.000062,1.9,0.2,0.4
Trampush et al. (2014) (Lawlor (2004)),Richards Creek near Libby MT,0.066666667,0.033,0.06,2.7,0.2,0.4
Trampush et al. (2014) (Lawlor (2004)),Cayuse Creek near Trego,0.136852395,0.035,0.031,2.7,0.2,0.5
Trampush et al. (2014) (Lawlor (2004)),Revais Creek below West Fork near Dixon,0.106060606,0.035,0.1,6.7,0.5,5.9
Trampush et al. (2014) (Lawlor (2004)),Flower Creek near Libby,0.127272727,0.042,0.1,7.6,0.5,3.7
Trampush et al. (2014) (Lawlor (2004)),Kootenai Creek near Stevensville,0.069054178,0.047,0.165,9.1,0.4,19
Trampush et al. (2014) (Lawlor (2004)),Shaughnessy Creek near Libby,0.636363636,0.049,0.014,3,0.3,0.8
Trampush et al. (2014) (Lawlor (2004)),West Twin Creek near Bonner,0.265151515,0.05,0.08,5.8,0.7,2.7
Trampush et al. (2014) (Lawlor (2004)),Burke Gulch near Darby,2.02020202,0.05,0.006,2.5,0.4,0.4
Trampush et al. (2014) (Lawlor (2004)),Hayes Creek near Missoula,0.618181818,0.051,0.015,2.5,0.3,0.4
Trampush et al. (2014) (Lawlor (2004)),South Crow Creek near Ronan,0.14600551,0.053,0.11,5.5,0.5,5.6
Trampush et al. (2014) (Lawlor (2004)),Marshall Creek near Missoula,0.161616162,0.06,0.045,1.3,0.2,0.3
Trampush et al. (2014) (McCandless (2003a)),NB Potomac River at Steyer,0.034632035,0.003,0.084,23.7,1.6,76.9
Trampush et al. (2014) (McCandless (2003a)),Savage River near Barton,0.008190008,0.003,0.222,15.4,1,36.1
Trampush et al. (2014) (McCandless (2003a)),Big Piney Run near Salisbury,0.018334607,0.004,0.119,13,0.9,21.7
Trampush et al. (2014) (McCandless (2003a)),Casselman River at Grantsville,0.028188865,0.004,0.086,25.8,1,47.8
Trampush et al. (2014) (McCandless (2003a)),Sideling Hill Creek near Bellegrove,0.071301248,0.004,0.051,24,1.5,77.2
Trampush et al. (2014) (McCandless (2003a)),Evitts Creek near Centerville,0.022328549,0.006,0.114,8.3,0.7,16.9
Trampush et al. (2014) (McCandless (2003a)),Ditch Run near Hancock,0.151515152,0.011,0.022,6.1,0.5,5.2
Trampush et al. (2014) (McCandless (2003a)),Bear Creek at Forest Park,0.08953168,0.013,0.044,5.3,0.5,7.2
Trampush et al. (2014) (McCandless (2003a)),Savage River near Frostburg,0.021294021,0.013,0.111,2.9,0.3,1.1
Trampush et al. (2014) (McCandless (2003a)),Bear Creek at Friendsville,0.075358852,0.021,0.152,14.2,0.9,32.1
Trampush et al. (2014) (McCandless (2003a)),Toliver Run Trib. near Hoyes Run,1.393939394,0.023,0.002,2,0.2,0.7
Trampush et al. (2014) (McCandless (2003a)),Crabtree Creek near Swanton,0.090104586,0.028,0.113,7.4,0.6,12.5
Trampush et al. (2014) (McCandless (2003a)),Youghiogheny River Trib. Near Friendsville,0.196447231,0.047,0.029,2,0.2,0.2
Trampush et al. (2014) (McCandless (2003b)),Sallie Harris Creek near Carmichael MD,0.574162679,0.0002,0.00019,5.3,0.9,2.2
Trampush et al. (2014) (McCandless (2003b)),Western Branch at Upper Marlboro MD,0.727272727,0.0002,0.00025,17.3,1.5,19.1
Trampush et al. (2014) (McCandless (2003b)),Choptank River near Greensboro MD,0.532150776,0.0003,0.00041,29.6,1.2,19.5
Trampush et al. (2014) (McCandless (2003b)),Nassawango Creek near Snow Hill MD,0.244233379,0.0003,0.00067,11.1,0.9,6.3
Trampush et al. (2014) (McCandless (2003b)),Murderkill River near Felton DE,0.16969697,0.0004,0.001,10.2,0.7,2.8
Trampush et al. (2014) (McCandless (2003b)),Nanticoke River near Bridgeville DE,0.909090909,0.0004,0.00032,16.4,1.2,9.6
Trampush et al. (2014) (McCandless (2003b)),Beaverdam Branch at Houston DE,0.628507295,0.0007,0.00027,4.5,0.4,1
Trampush et al. (2014) (McCandless (2003b)),St. Clements Creek near Clements MD,2.097902098,0.001,0.00026,9.2,0.9,7.7
Trampush et al. (2014) (McCandless (2003b)),Mill Creek near Skipton MD,0.716253444,0.0013,0.00033,8.2,0.3,1.1
Trampush et al. (2014) (McCandless (2003b)),Gravel Run at Beulah MD,3.636363636,0.0014,0.00014,5.5,0.6,1.8
Trampush et al. (2014) (McCandless (2003b)),Mattawoman Creek near Pomonkey MD,0.064230496,0.0014,0.01321,11.3,1,15.3
Trampush et al. (2014) (McCandless (2003b)),St. Mary's River at Great Mills MD,0.064720431,0.0014,0.01311,11.8,1,13.2
Trampush et al. (2014) (McCandless (2003b)),Faulkner Branch at Federalsburg MD,1.089015152,0.0023,0.00064,5.4,0.5,2.4
Trampush et al. (2014) (McCandless (2003b)),Glebe Branch at Valley Lee MD,0.174909266,0.01,0.00693,2.3,0.2,0.3
Trampush et al. (2014) (McCandless and Everett (2002)),Beaverdam Run at Cockeysville,0.923520924,0.0008,0.00063,13.2,1.2,18.8
Trampush et al. (2014) (McCandless and Everett (2002)),Big Pipe Creek at Bruceville,0.070207021,0.0013,0.0202,26.3,1.8,75.3
Trampush et al. (2014) (McCandless and Everett (2002)),Seneca Creek at Dawsonville,0.539672342,0.0014,0.00283,20.4,1.8,72.5
Trampush et al. (2014) (McCandless and Everett (2002)),Jones Falls at Sorrento,0.125934671,0.0016,0.0077,16.5,1,25.9
Trampush et al. (2014) (McCandless and Everett (2002)),Hawlings River near Sandy Spring,4.444444444,0.0022,0.00036,13.7,1.2,29.2
Trampush et al. (2014) (McCandless and Everett (2002)),Piney Creek at Taneytown,0.125046893,0.0025,0.01454,20.1,1.2,39.3
Trampush et al. (2014) (McCandless and Everett (2002)),Beaver Run near Finksburg,0.066181884,0.005,0.03663,12.3,0.8,17.8
Trampush et al. (2014) (McCandless and Everett (2002)),Morgan Run at Louisville,0.098484848,0.0052,0.032,15.8,1,29
Trampush et al. (2014) (McCandless and Everett (2002)),Winters Run near Benson,0.155070768,0.0052,0.02642,20.4,1.3,55.5
Trampush et al. (2014) (McCandless and Everett (2002)),Northeast Creek at Leslie,0.068007549,0.012,0.10694,17.7,1,37.8
Trampush et al. (2014) (McCandless and Everett (2002)),Long Green Creek at Glen Arm,0.045177321,0.0165,0.13281,13.3,0.6,10.3
Trampush et al. (2014) (Metcalf (2004)),Newell Branch near Worth GA,0.016901408,0.00011,0.00071,3.7,0.18,0.2
Trampush et al. (2014) (Metcalf (2004)),Tired Creek near Cairo GA,0.200440771,0.00017,0.00055,10.9,1.07,7.36
Trampush et al. (2014) (Metcalf (2004)),Fish River near Silverhill AL,0.427751196,0.00018,0.00038,14.5,1.49,14.95
Trampush et al. (2014) (Metcalf (2004)),Little River near Ashburn GA,0.073522106,0.0002,0.00061,7.1,0.37,0.65
Trampush et al. (2014) (Metcalf (2004)),New River near Lake Butler FL,1.43415978,0.00038,0.00022,14.2,1.37,8.81
Trampush et al. (2014) (Metcalf (2004)),Brushy Creek near Walnut Hill FL,1.019607843,0.0004,0.00034,11.7,1.43,9.97
Trampush et al. (2014) (Metcalf (2004)),Newell Branch near Ashburn GA,0.192272727,0.00047,0.0004,6.6,0.27,0.48
Trampush et al. (2014) (Metcalf (2004)),Deep Creek near Suwannee Valley FL,1.414141414,0.0005,0.00036,10.1,1.68,11.27
Trampush et al. (2014) (Metcalf (2004)),Econfina River near Perry FL,0.510572391,0.00051,0.00135,11.7,2.23,10.62
Trampush et al. (2014) (Metcalf (2004)),Little Double Bridges Creek near Enterprise AL,2.437171717,0.00058,0.00015,10.4,1.04,6.14
Trampush et al. (2014) (Metcalf (2004)),Big Coldwater Creek near Milton FL,1.76969697,0.0006,0.0003,35.5,1.46,37.66
Trampush et al. (2014) (Metcalf (2004)),Barnetts Creek near Thomasville GA,0.501284027,0.0008,0.00059,4.5,0.61,1.27
Trampush et al. (2014) (Metcalf (2004)),Bear Creek near Youngstown FL,2.394678492,0.001,0.00041,14.4,1.62,12.43
Trampush et al. (2014) (Metcalf (2004)),Little River near Midway FL,1.936575053,0.0012,0.00086,29.1,2.29,35.68
Trampush et al. (2014) (Metcalf (2004)),Shoal River Near Crestview FL,3.248484848,0.0012,0.00045,40.6,2.01,75.04
Trampush et al. (2014) (Metcalf (2004)),Juniper Creek near Niceville FL,1.695842142,0.00128,0.00043,11,0.94,7.19
Trampush et al. (2014) (Metcalf (2004)),Fenholloway River near Foley FL,1.330650012,0.00197,0.00131,6.1,1.46,7.02
Trampush et al. (2014) (Metcalf (2004)),UT to Warrior Creek near Norman Park GA,0.390683696,0.0026,0.00121,3.3,0.3,0.59
Trampush et al. (2014) (Metcalf (2004)),Shoal River Near Mossy Head FL,6.226475279,0.00305,0.00057,18,1.92,37.1
Trampush et al. (2014) (Metcalf (2004)),Alaqua Creek near Portland FL,12.32323232,0.004,0.00048,15.2,2.44,16.76
Trampush et al. (2014) (Mistak and Stille (2008)), Sturgeon River near Foster City MI,0.181818182,0.0002,0.0008,32.6,1.2,25.2
Trampush et al. (2014) (Mistak and Stille (2008)), Brule River near Florence WI,0.016090105,0.0009,0.0339,33.9,1,38.2
Trampush et al. (2014) (Mistak and Stille (2008)), Pine Creek near Iron Mountain MI,4.363636364,0.0012,0.0001,14.2,0.6,1.4
Trampush et al. (2014) (Mistak and Stille (2008)), Peshekee River near Champion MI,0.049987748,0.0018,0.0371,40.9,1.7,45.3
Trampush et al. (2014) (Mistak and Stille (2008)), Iron River at Caspian MI,0.193325662,0.0028,0.0079,14.9,0.9,6.4
Trampush et al. (2014) (Mulvihill et al (2005)),Ischua Creek Tributary near Machias,1.818181818,0.001,0.0002,12.6,0.6,2.5
Trampush et al. (2014) (Mulvihill et al (2005)),Ischua Creek Tributary near Machias,1.515151515,0.001,0.0002,12.9,0.5,2.5
Trampush et al. (2014) (Mulvihill et al (2005)),Ischua Creek Tributary near Machias,1.818181818,0.001,0.0002,11.4,0.6,2.5
Trampush et al. (2014) (Mulvihill et al (2005)),Little Tonawanda Creek at Linden,0.029806259,0.001,0.0183,13.6,0.9,9.9
Trampush et al. (2014) (Mulvihill et al (2005)),Little Tonawanda Creek at Linden,0.023182646,0.001,0.0183,19.8,0.7,9.9
Trampush et al. (2014) (Mulvihill et al (2005)),Little Tonawanda Creek at Linden,0.026494453,0.001,0.0183,17.1,0.8,9.9
Trampush et al. (2014) (Mulvihill et al (2005)),Cazenovia Creek at Ebenezer,0.046845264,0.001,0.0207,50,1.6,181.2
Trampush et al. (2014) (Mulvihill et al (2005)),Cazenovia Creek at Ebenezer,0.043917435,0.001,0.0207,44.5,1.5,181.2
Trampush et al. (2014) (Mulvihill et al (2005)),Cazenovia Creek at Ebenezer,0.038061777,0.001,0.0207,63.4,1.3,181.2
Trampush et al. (2014) (Mulvihill et al (2005)),Catatonk Creek Northwest of Owego,0.008689041,0.001,0.0558,92.7,0.8,104.8
Trampush et al. (2014) (Mulvihill et al (2005)),Catatonk Creek Northwest of Owego,0.009775171,0.001,0.0558,75.3,0.9,104.8
Trampush et al. (2014) (Mulvihill et al (2005)),Catatonk Creek Northwest of Owego,0.010861301,0.001,0.0558,74.7,1,104.8
